"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"DFW","BWI","1046","1419",
2017-01-01,"CLT","EWR","1620","1807",
2017-01-01,"DFW","LAX","0902","1206",
2017-01-01,"BOS","DFW","0958","1334",
2017-01-01,"DFW","TUS","2215","2345",
2017-01-01,"MIA","JFK","1655","1940",
2017-01-01,"IAH","DFW","2021","2125",
2017-01-01,"PBI","ORD","1331","1534",
2017-01-01,"DFW","IAH","2218","2321",
2017-01-01,"BNA","DFW","1939","2128",
2017-01-01,"DFW","BNA","1705","1851",
2017-01-01,"DFW","PSP","1722","1822",
2017-01-01,"SEA","ORD","1245","1945",
2017-01-01,"EWR","DFW","1413","1715",
2017-01-01,"DFW","PSP","1059","1159",
2017-01-01,"PSP","DFW","1304","1741",
2017-01-01,"MIA","PHL","0708","0942",
2017-01-01,"LGA","MIA","0656","0952",
2017-01-01,"DFW","RNO","2205","2352",
2017-01-01,"ORD","AUS","2007","2251",
2017-01-01,"DFW","PBI","1425","1756",
2017-01-01,"SAT","DFW","0636","0754",
2017-01-01,"DFW","OKC","1220","1311",
2017-01-01,"OKC","DFW","1359","1446",
2017-01-01,"PHL","DFW","1447","1742",
2017-01-01,"LAX","ORD","0455","1047",
2017-01-01,"ORD","DEN","1340","1516",
2017-01-01,"EGE","LAX","1843","2005",
2017-01-01,"DFW","JAC","1838","2022",
2017-01-01,"DFW","SAN","1851","2007",
2017-01-01,"DCA","MCO","1512","1738",
2017-01-01,"MCO","LGA","1843","2106",
2017-01-01,"DTW","ORD","1821","1837",
2017-01-01,"ORD","DTW","1513","1735",
2017-01-01,"DFW","DCA","0916","1247",
2017-01-01,"DEN","MIA","1059","1646",
2017-01-01,"MIA","DEN","0727","0948",
2017-01-01,"DFW","DEN","2041","2149",
2017-01-01,"DFW","DCA","2012","2350",
2017-01-01,"DFW","PDX","2216","0058",
2017-01-01,"DFW","DEN","1052","1148",
2017-01-01,"DEN","ORD","1234","1552",
2017-01-01,"ORD","DEN","1010","1148",
2017-01-01,"MIA","LAS","2328","0148",
2017-01-01,"BOS","DFW","0756","1125",
2017-01-01,"MIA","DFW","1037","1232",
2017-01-01,"PBI","DFW","1859","2116",
2017-01-01,"DFW","MIA","1023","1345",
2017-01-01,"IAH","MIA","0710","1021",
2017-01-01,"DFW","PHX","1625","1750",
2017-01-01,"DFW","ORD","1336","1541",
2017-01-01,"STL","ORD","0925","1045",
2017-01-01,"DCA","DFW","1146","1430",
2017-01-01,"DFW","DCA","0656","1023",
2017-01-01,"MIA","IAH","2205","2341",
2017-01-01,"DFW","MFE","1512","1635",
2017-01-01,"MFE","DFW","1723","1849",
2017-01-01,"MIA","STX","2041","0011",
2017-01-01,"DFW","SAT","","",
2017-01-01,"SAT","DFW","","",
2017-01-01,"DFW","ORD","1626","1828",
2017-01-01,"DFW","ORD","0640","0839",
2017-01-01,"DFW","PBI","2037","0022",
2017-01-01,"ORD","DCA","1703","1946",
2017-01-01,"MIA","LGA","2025","2319",
2017-01-01,"DFW","BOS","1525","1923",
2017-01-01,"DFW","MIA","2204","0139",
2017-01-01,"ORD","DFW","1655","1925",
2017-01-01,"DFW","ORD","0712","0911",
2017-01-01,"DFW","ORF","1832","2208",
2017-01-01,"ORD","DFW","1205","1431",
2017-01-01,"ORD","DFW","1323","1547",
2017-01-01,"DFW","MIA","0616","1002",
2017-01-01,"ORD","DFW","0910","1141",
2017-01-01,"ORD","SNA","1837","2106",
2017-01-01,"LAS","MIA","2351","0707",
2017-01-01,"DFW","PHX","1308","1440",
2017-01-01,"PHX","DEN","1556","1746",
2017-01-01,"DEN","MIA","0022","0557",
2017-01-01,"DFW","LBB","1840","1948",
2017-01-01,"STL","DFW","1902","2059",
2017-01-01,"DFW","MIA","0816","1140",
2017-01-01,"ORD","DFW","1458","1725",
2017-01-01,"CMH","DFW","1728","1913",
2017-01-01,"DFW","CMH","1334","1637",
2017-01-01,"MCO","DFW","2007","2136",
2017-01-01,"ORD","MCO","1452","1911",
2017-01-01,"MEM","DFW","0800","1002",
2017-01-01,"DFW","IAD","1134","1500",
2017-01-01,"OKC","DFW","1646","1746",
2017-01-01,"DFW","MEM","1824","1944",
2017-01-01,"DFW","MSY","1508","1634",
2017-01-01,"MSY","DFW","1710","1839",
2017-01-01,"DFW","TPA","0904","1220",
2017-01-01,"DFW","BWI","1329","1703",
2017-01-01,"DFW","DEN","1829","1924",
2017-01-01,"FLL","DFW","0701","0917",
2017-01-01,"CLE","DFW","0731","0945",
2017-01-01,"DFW","RSW","2027","2351",
2017-01-01,"DFW","IAH","2214","2323",
2017-01-01,"DFW","STL","1828","2004",
2017-01-01,"DFW","IAH","1038","1142",
2017-01-01,"LAX","DFW","1758","2256",
2017-01-01,"ORD","DFW","1817","2035",
2017-01-01,"DFW","MSY","1828","1946",
2017-01-01,"TUS","DFW","1124","1430",
2017-01-01,"BOS","PHX","0556","1022",
2017-01-01,"PHX","SAN","1116","1153",
2017-01-01,"MIA","STT","1749","2117",
2017-01-01,"DEN","ORD","1557","",
2017-01-01,"LAX","MCO","1024","1812",
2017-01-01,"JFK","MIA","1353","1704",
2017-01-01,"IAH","DFW","1232","1339",
2017-01-01,"DFW","SAT","1756","1853",
2017-01-01,"SAT","DFW","1948","2100",
2017-01-01,"DFW","OKC","1523","1614",
2017-01-01,"ORD","BOS","1506","1816",
2017-01-01,"MCO","ORD","1847","2042",
2017-01-01,"DFW","EWR","1017","1423",
2017-01-01,"DFW","EGE","1342","1458",
2017-01-01,"EGE","DFW","1551","1901",
2017-01-01,"MCI","DFW","0932","1127",
2017-01-01,"DFW","OMA","2111","2243",
2017-01-01,"LAX","EGE","1149","1516",
2017-01-01,"DFW","EGE","1634","1747",
2017-01-01,"DFW","LAX","0700","0851",
2017-01-01,"ABQ","DFW","1703","1951",
2017-01-01,"DFW","ABQ","1537","1624",
2017-01-01,"JFK","PHX","0954","1400",
2017-01-01,"PHX","SEA","1452","1715",
2017-01-01,"DFW","ATL","1846","2141",
2017-01-01,"DFW","LAX","1724","1843",
2017-01-01,"DFW","LAX","0831","1010",
2017-01-01,"LAS","MIA","0816","1550",
2017-01-01,"SAT","DFW","0859","1014",
2017-01-01,"SEA","DFW","1501","2106",
2017-01-01,"MIA","SJU","1424","1755",
2017-01-01,"MIA","LGA","1921","2202",
2017-01-01,"SJU","MIA","1138","1325",
2017-01-01,"DFW","JAX","2045","0006",
2017-01-01,"DTW","DFW","1725","1915",
2017-01-01,"LAX","DFW","0606","1107",
2017-01-01,"MIA","STT","1400","1723",
2017-01-01,"STT","MIA","1814","2016",
2017-01-01,"DFW","MSP","1210","1412",
2017-01-01,"MSP","DFW","1506","1731",
2017-01-01,"MIA","AUS","2115","2313",
2017-01-01,"DFW","TUL","1833","1938",
2017-01-01,"DFW","ONT","2213","2328",
2017-01-01,"MIA","DFW","1812","2024",
2017-01-01,"RDU","DFW","0531","0755",
2017-01-01,"DFW","SAT","1847","1954",
2017-01-01,"CMH","DFW","2007","2137",
2017-01-01,"DFW","CMH","1628","1931",
2017-01-01,"PHX","SNA","0848","0913",
2017-01-01,"DFW","MCO","1430","1757",
2017-01-01,"SFO","DFW","0608","1138",
2017-01-01,"DFW","MCO","1711","2038",
2017-01-01,"MIA","LAX","1535","1826",
2017-01-01,"ATL","LAX","1227","1507",
2017-01-01,"LAX","ORD","2356","0539",
2017-01-01,"MIA","ORD","1009","1227",
2017-01-01,"SLC","MIA","0354","1058",
2017-01-01,"ORD","PBI","1845","2240",
2017-01-01,"MIA","DEN","1704","1929",
2017-01-01,"STL","LAX","0757","1035",
2017-01-01,"JAC","DFW","0731","1147",
2017-01-01,"MCO","MIA","2020","2140",
2017-01-01,"MIA","MCO","1724","1846",
2017-01-01,"BNA","DFW","0703","0925",
2017-01-01,"LAX","DFW","0800","1301",
2017-01-01,"ORD","LAX","2047","2343",
2017-01-01,"LAX","DFW","0658","1155",
2017-01-01,"PBI","HPN","1848","2127",
2017-01-01,"BOS","FLL","1643","2016",
2017-01-01,"FLL","BOS","0622","0915",
2017-01-01,"EWR","TPA","2010","2310",
2017-01-01,"DCA","FLL","1611","1854",
2017-01-01,"LGB","LAS","1819","1923",
2017-01-01,"JFK","MCO","0547","0825",
2017-01-01,"SJU","EWR","0509","0820",
2017-01-01,"MCO","LGA","1002","1213",
2017-01-01,"JFK","BUF","2243","0005",
2017-01-01,"FLL","EWR","0555","0841",
2017-01-01,"PIT","FLL","0702","1005",
2017-01-01,"FLL","PIT","1958","2225",
2017-01-01,"ORH","FLL","1252","1617",
2017-01-01,"FLL","ORH","0910","1219",
2017-01-01,"JFK","LAX","2245","0219",
2017-01-01,"LAX","JFK","2355","0759",
2017-01-01,"MCO","EWR","0527","0745",
2017-01-01,"STT","SJU","1543","1626",
2017-01-01,"BOS","MCO","2150","0042",
2017-01-01,"JFK","PBI","1422","1726",
2017-01-01,"SJU","FLL","2222","2359",
2017-01-01,"HPN","PBI","1455","1812",
2017-01-01,"FLL","BOS","1700","2013",
2017-01-01,"TPA","EWR","1815","2045",
2017-01-01,"LAS","LGB","2014","2112",
2017-01-01,"FLL","DCA","2003","2217",
2017-01-01,"MCO","JFK","0722","0954",
2017-01-01,"BUF","JFK","0817","0931",
2017-01-01,"FLL","EWR","1602","1857",
2017-01-01,"JAX","DCA","1018","1155",
2017-01-01,"SFO","LGB","1814","1925",
2017-01-01,"LGB","SFO","1528","1648",
2017-01-01,"PBI","HPN","1516","1755",
2017-01-01,"BOS","FLL","1409","1724",
2017-01-01,"FLL","BOS","2109","0003",
2017-01-01,"JFK","MCO","1503","1812",
2017-01-01,"BOS","TPA","0825","1149",
2017-01-01,"JFK","BUF","1558","1722",
2017-01-01,"MCO","DCA","1446","1645",
2017-01-01,"EWR","MCO","2133","0028",
2017-01-01,"BOS","FLL","1400","1712",
2017-01-01,"BDL","SJU","2212","0236",
2017-01-01,"SJU","BDL","0349","0658",
2017-01-01,"EWR","BOS","0829","0932",
2017-01-01,"BOS","RDU","0605","0808",
2017-01-01,"SFO","LAS","1010","1138",
2017-01-01,"DTW","FLL","0705","1009",
2017-01-01,"BUF","JFK","1047","1151",
2017-01-01,"JFK","BUF","1427","1550",
2017-01-01,"DCA","MCO","2045","2253",
2017-01-01,"MCO","DCA","0646","0837",
2017-01-01,"BOS","EWR","0852","1000",
2017-01-01,"BOS","TPA","1345","1707",
2017-01-01,"TPA","BOS","1750","2035",
2017-01-01,"BUF","JFK","1303","1409",
2017-01-01,"JFK","BUF","1106","1222",
2017-01-01,"AUS","MCO","1702","2030",
2017-01-01,"MCO","AUS","1148","1334",
2017-01-01,"JFK","PBI","0645","1001",
2017-01-01,"PBI","JFK","1113","1341",
2017-01-01,"BUF","FLL","0731","1021",
2017-01-01,"FLL","BUF","1452","1741",
2017-01-01,"MCO","JFK","1518","1747",
2017-01-01,"EWR","BOS","1752","1855",
2017-01-01,"LAS","SFO","1523","1701",
2017-01-01,"BUF","JFK","1629","1742",
2017-01-01,"JFK","BUF","0835","1010",
2017-01-01,"JAX","FLL","1215","1338",
2017-01-01,"FLL","JAX","2121","2228",
2017-01-01,"BOS","EWR","1925","2058",
2017-01-01,"LAS","SFO","1952","2132",
2017-01-01,"BUF","JFK","1818","1939",
2017-01-01,"JFK","BUF","0619","0738",
2017-01-01,"BOS","RSW","1217","1552",
2017-01-01,"RDU","BOS","0655","0842",
2017-01-01,"JFK","BOS","0742","0846",
2017-01-01,"SJU","JFK","0455","0825",
2017-01-01,"JFK","FLL","2007","2301",
2017-01-01,"LAS","LAX","0620","0746",
2017-01-01,"MIA","ATL","1904","2104",
2017-01-01,"DEN","MSP","1557","1848",
2017-01-01,"SLC","MSP","1514","1850",
2017-01-01,"SLC","ATL","1110","1653",
2017-01-01,"ATL","SLC","1802","2015",
2017-01-01,"DTW","BWI","2039","2219",
2017-01-01,"MIA","ATL","1647","1858",
2017-01-01,"ATL","MIA","1901","2050",
2017-01-01,"MCO","ATL","1623","1826",
2017-01-01,"ATL","MSY","1751","1822",
2017-01-01,"DFW","ATL","1557","1852",
2017-01-01,"ATL","DFW","1914","2025",
2017-01-01,"MSY","ATL","1918","2136",
2017-01-01,"ATL","MCO","2253","0016",
2017-01-01,"ANC","SEA","0551","1125",
2017-01-01,"LAS","SEA","1537","1812",
2017-01-01,"SEA","DTW","1330","2056",
2017-01-01,"DTW","SEA","0835","1110",
2017-01-01,"LAX","JFK","0827","1643",
2017-01-01,"JFK","LAX","1822","2150",
2017-01-01,"ATL","JFK","1542","1742",
2017-01-01,"JFK","ATL","1530","1821",
2017-01-01,"LAX","JFK","1132","1940",
2017-01-01,"JFK","SLC","1603","1911",
2017-01-01,"FLL","JFK","1154","1428",
2017-01-01,"TPA","JFK","1515","1746",
2017-01-01,"SAN","SLC","1649","1937",
2017-01-01,"MSP","DTW","1533","1802",
2017-01-01,"SFO","ATL","1210","1934",
2017-01-01,"LAX","ATL","0915","1611",
2017-01-01,"ATL","LAX","1932","2131",
2017-01-01,"MCO","ATL","1528","1655",
2017-01-01,"MSY","ATL","1624","1852",
2017-01-01,"MSY","ATL","1249","1505",
2017-01-01,"DTW","MSP","1542","1628",
2017-01-01,"DTW","ATL","1202","1410",
2017-01-01,"ATL","DTW","1210","1354",
2017-01-01,"DEN","DTW","1000","1451",
2017-01-01,"LAX","ATL","1242","1945",
2017-01-01,"ATL","BOS","0929","1138",
2017-01-01,"BOS","ATL","1456","1753",
2017-01-01,"SAN","SLC","1301","1557",
2017-01-01,"IAH","ATL","1400","1653",
2017-01-01,"ATL","LAX","0826","1027",
2017-01-01,"BHM","ATL","1339","1530",
2017-01-01,"MSP","LGA","1335","1656",
2017-01-01,"LGA","MSP","0551","0752",
2017-01-01,"FLL","LGA","1236","1511",
2017-01-01,"SEA","LAX","1219","1520",
2017-01-01,"SAN","DTW","0718","1425",
2017-01-01,"RSW","DTW","1417","1701",
2017-01-01,"SLC","ATL","1410","2001",
2017-01-01,"ATL","DCA","1115","1303",
2017-01-01,"DCA","ATL","1458","1710",
2017-01-01,"SEA","FLL","2207","0636",
2017-01-01,"DTW","BOS","1205","1344",
2017-01-01,"BOS","DTW","0833","1048",
2017-01-01,"DEN","MSP","1130","1423",
2017-01-01,"PHX","MSP","1707","2055",
2017-01-01,"MEM","ATL","0812","1024",
2017-01-01,"MCO","JFK","0823","1042",
2017-01-01,"SNA","MSP","0810","1343",
2017-01-01,"ATL","DFW","1701","1809",
2017-01-01,"ATL","CVG","1156","1315",
2017-01-01,"LAX","LAS","1911","2027",
2017-01-01,"LAX","MCO","2305","0640",
2017-01-01,"DTW","BOS","2017","2214",
2017-01-01,"LGA","DTW","0904","1051",
2017-01-01,"SLC","PHL","1231","1833",
2017-01-01,"MCO","MIA","0659","0750",
2017-01-01,"MIA","MCO","2100","2206",
2017-01-01,"SEA","LAS","1615","1829",
2017-01-01,"LAS","SEA","0731","1036",
2017-01-01,"MSP","ATL","1257","1624",
2017-01-01,"ATL","MSP","0839","1008",
2017-01-01,"TPA","DTW","1620","1843",
2017-01-01,"JFK","ATL","1938","2203",
2017-01-01,"JFK","TPA","1923","2214",
2017-01-01,"ATL","RSW","2100","2242",
2017-01-01,"MCO","CVG","1311","1506",
2017-01-01,"GSO","ATL","0555","0713",
2017-01-01,"CLT","SLC","0728","1013",
2017-01-01,"SFO","ATL","0605","1334",
2017-01-01,"SLC","LAX","1103","1212",
2017-01-01,"MCI","SLC","0658","0826",
2017-01-01,"ATL","DTW","2223","2359",
2017-01-01,"ATL","BNA","1948","2007",
2017-01-01,"TPA","JFK","0724","0958",
2017-01-01,"LAX","TPA","1139","1908",
2017-01-01,"SFO","JFK","1300","2105",
2017-01-01,"SEA","ATL","1612","0005",
2017-01-01,"OGG","LAX","2133","0423",
2017-01-01,"IAH","ATL","0805","1052",
2017-01-01,"LAX","OGG","1512","1903",
2017-01-01,"LAX","KOA","0815","1230",
2017-01-01,"DTW","BUF","2015","2124",
2017-01-01,"LGA","TPA","0657","0954",
2017-01-01,"ATL","PDX","1636","1836",
2017-01-01,"SJU","JFK","1449","1753",
2017-01-01,"SJU","ATL","1336","1629",
2017-01-01,"ATL","SJU","0817","1227",
2017-01-01,"DTW","ATL","1457","1702",
2017-01-01,"SJU","JFK","0735","1035",
2017-01-01,"MSP","PHX","1519","1731",
2017-01-01,"MSP","SAN","1528","1710",
2017-01-01,"ATL","CAE","1238","1330",
2017-01-01,"SJU","JFK","1731","2047",
2017-01-01,"LAX","DTW","1200","1918",
2017-01-01,"ATL","ICT","1245","1400",
2017-01-01,"ICT","ATL","1454","1749",
2017-01-01,"MCO","BOS","1940","2222",
2017-01-01,"DTW","BWI","1217","1341",
2017-01-01,"MCO","DTW","0529","0754",
2017-01-01,"LGA","FLL","2019","2311",
2017-01-01,"SJU","JFK","2036","2325",
2017-01-01,"LGA","TPA","2022","2303",
2017-01-01,"ATL","MSP","2222","2347",
2017-01-01,"DTW","DEN","1526","1640",
2017-01-01,"SLC","BIL","2038","2217",
2017-01-01,"ATL","DCA","2119","2244",
2017-01-01,"ATL","ECP","1413","1410",
2017-01-01,"ECP","ATL","1449","1657",
2017-01-01,"DTW","EWR","1541","1712",
2017-01-01,"LAX","PDX","1924","2159",
2017-01-01,"PDX","MSP","0913","1430",
2017-01-01,"SJU","JFK","1241","1539",
2017-01-01,"ATL","ORD","1541","1620",
2017-01-01,"ORD","ATL","1307","1555",
2017-01-01,"SJU","DTW","1536","1910",
2017-01-01,"MSY","LAX","1758","2008",
2017-01-01,"JFK","LAS","1537","1840",
2017-01-01,"TPA","JFK","1849","2115",
2017-01-01,"TPA","JFK","1155","1420",
2017-01-01,"ATL","DAY","2145","2319",
2017-01-01,"MIA","JFK","1524","1819",
2017-01-01,"MCO","JFK","1612","1841",
2017-01-01,"DTW","TPA","2021","2305",
2017-01-01,"HNL","LAX","1207","1914",
2017-01-01,"SFO","JFK","0728","1539",
2017-01-01,"JFK","SFO","1541","1937",
2017-01-01,"ATL","JFK","1210","1403",
2017-01-01,"DTW","JFK","1957","2134",
2017-01-01,"JFK","LAX","1009","1310",
2017-01-01,"JFK","LAX","1131","1501",
2017-01-01,"JFK","LAS","2104","2354",
2017-01-01,"JFK","PDX","1954","2312",
2017-01-01,"JFK","HNL","0932","1555",
2017-01-01,"JFK","BOS","1256","1359",
2017-01-01,"JFK","SEA","0756","1224",
2017-01-01,"JFK","SFO","1128","1457",
2017-01-01,"JFK","SFO","1814","2157",
2017-01-01,"JFK","SLC","1303","1607",
2017-01-01,"JFK","MSP","0654","0920",
2017-01-01,"JFK","BOS","1706","1849",
2017-01-01,"JFK","SLC","0918","1212",
2017-01-01,"JFK","SEA","1924","2230",
2017-01-01,"JFK","LAX","0823","1142",
2017-01-01,"SLC","JFK","1057","1702",
2017-01-01,"JFK","SLC","1920","2236",
2017-01-01,"DEN","JFK","1212","1812",
2017-01-01,"JFK","LAX","1605","1953",
2017-01-01,"JFK","LAX","1711","2053",
2017-01-01,"JFK","SJU","1924","0011",
2017-01-01,"JFK","ATL","1453","1730",
2017-01-01,"JFK","BOS","1454","1602",
2017-01-01,"JFK","ATL","0557","0834",
2017-01-01,"JFK","LAX","1401","1719",
2017-01-01,"JFK","SFO","0742","1111",
2017-01-01,"JFK","BOS","1921","2024",
2017-01-01,"JFK","MCO","2055","2331",
2017-01-01,"JFK","SLC","0646","1012",
2017-01-01,"FLL","JFK","1543","1824",
2017-01-01,"JFK","STT","0829","1307",
2017-01-01,"SLC","JFK","0850","1459",
2017-01-01,"ATL","JFK","1735","1936",
2017-01-01,"JFK","ATL","0802","1054",
2017-01-01,"JFK","MSP","1733","1946",
2017-01-01,"BOS","JFK","1655","1816",
2017-01-01,"JFK","ATL","1752","2032",
2017-01-01,"JFK","SFO","0930","1250",
2017-01-01,"JFK","SEA","1507","1824",
2017-01-01,"JFK","LAS","0756","1047",
2017-01-01,"JFK","SLC","1118","1437",
2017-01-01,"ATL","EWR","1955","2153",
2017-01-01,"SJU","ATL","1507","1818",
2017-01-01,"DTW","SJU","0907","1416",
2017-01-01,"SLC","CLT","1723","2302",
2017-01-01,"SLC","DEN","1539","1708",
2017-01-01,"CID","ATL","0546","0914",
2017-01-01,"PHX","DTW","1324","1910",
2017-01-01,"ATL","SJU","1748","2201",
2017-01-01,"ATL","MSY","2108","2140",
2017-01-01,"BIL","MSP","0729","1021",
2017-01-01,"ATL","SJU","0944","1358",
2017-01-01,"PHX","SEA","1617","1815",
2017-01-01,"SEA","PHX","1132","1535",
2017-01-01,"LAX","ATL","1212","1925",
2017-01-01,"ATL","STT","0910","1344",
2017-01-01,"EWR","ATL","0611","0842",
2017-01-01,"SLC","SEA","1700","1756",
2017-01-01,"DTW","LGA","1550","1720",
2017-01-01,"LGA","DTW","1234","1415",
2017-01-01,"MSP","SEA","0858","1245",
2017-01-01,"SJU","ATL","0924","1219",
2017-01-01,"HNL","LAX","2336","0646",
2017-01-01,"DTW","MSP","2004","2057",
2017-01-01,"MSP","SFO","1528","1749",
2017-01-01,"MSP","PHX","0706","0923",
2017-01-01,"LAX","HNL","0829","1242",
2017-01-01,"LAX","JFK","1258","2101",
2017-01-01,"PBI","ATL","1634","1830",
2017-01-01,"JAX","MSP","0801","0954",
2017-01-01,"ATL","MIA","1407","1555",
2017-01-01,"SEA","MSP","1631","2135",
2017-01-01,"LGA","MCO","0846","1133",
2017-01-01,"MCO","BOS","1158","1444",
2017-01-01,"RSW","ATL","0530","0705",
2017-01-01,"MSP","SLC","1120","1316",
2017-01-01,"FLL","LGA","0753","1035",
2017-01-01,"LGA","DEN","1758","2030",
2017-01-01,"MSP","DEN","2015","2109",
2017-01-01,"STT","ATL","1354","1652",
2017-01-01,"DCA","ATL","0710","0922",
2017-01-01,"ATL","DCA","1900","2026",
2017-01-01,"MSP","JFK","1501","1919",
2017-01-01,"MSP","MIA","0723","1152",
2017-01-01,"MSP","BOS","1126","1444",
2017-01-01,"ATL","STT","1144","1624",
2017-01-01,"TPA","DTW","0824","1051",
2017-01-01,"SEA","ATL","2214","0606",
2017-01-01,"ATL","DFW","1344","1506",
2017-01-01,"PBI","JFK","1957","2233",
2017-01-01,"LAX","SJC","2145","2258",
2017-01-01,"STT","ATL","1458","1820",
2017-01-01,"ATL","VPS","1022","1040",
2017-01-01,"VPS","ATL","1110","1322",
2017-01-01,"STT","JFK","1449","1803",
2017-01-01,"CHA","ATL","0747","1005",
2017-01-01,"CVG","SLC","1221","1401",
2017-01-01,"LAS","ATL","1153","1829",
2017-01-01,"ATL","MCI","1455","1554",
2017-01-01,"MCI","ATL","1702","2008",
2017-01-01,"ATL","PIT","2257","0013",
2017-01-01,"SRQ","ATL","0617","0747",
2017-01-01,"PDX","MSP","1338","1902",
2017-01-01,"MCO","ATL","1231","1416",
2017-01-01,"AUS","SLC","1122","1307",
2017-01-01,"MCI","ATL","1359","1659",
2017-01-01,"SLC","PDX","1037","1120",
2017-01-01,"DFW","SLC","1413","1553",
2017-01-01,"SLC","DFW","0949","1320",
2017-01-01,"BDL","MSP","0619","0829",
2017-01-01,"MIA","JFK","0740","1017",
2017-01-01,"BOS","SLC","2001","2336",
2017-01-01,"LFT","ATL","0856","1145",
2017-01-01,"STX","ATL","1642","1958",
2017-01-01,"TPA","MSP","1600","1759",
2017-01-01,"DTW","LAX","1015","1219",
2017-01-01,"ATL","STX","1100","1557",
2017-01-01,"ATL","DEN","1630","1801",
2017-01-01,"ATL","CLT","2103","2159",
2017-01-01,"ATL","HSV","2216","2208",
2017-01-01,"ATL","STT","0813","1234",
2017-01-01,"ATL","RSW","1757","1931",
2017-01-01,"RSW","ATL","2015","2157",
2017-01-01,"ATL","SFO","1758","2026",
2017-01-01,"HNL","MSP","1807","0525",
2017-01-01,"ATL","LAX","1759","1949",
2017-01-01,"BZN","ATL","0829","1423",
2017-01-01,"ATL","PHX","1921","2119",
2017-01-01,"ATL","SMF","0943","1150",
2017-01-01,"SMF","ATL","1252","2011",
2017-01-01,"ATL","MSP","1216","1333",
2017-01-01,"ATL","MDW","1622","1704",
2017-01-01,"MDW","ATL","1752","2044",
2017-01-01,"ATL","MKE","0814","0908",
2017-01-01,"MKE","ATL","0957","1251",
2017-01-01,"JAX","ATL","0928","1039",
2017-01-01,"ATL","MKE","1927","2026",
2017-01-01,"ATL","PBI","1359","1535",
2017-01-01,"ATL","GSO","1216","1324",
2017-01-01,"GSO","ATL","1410","1531",
2017-01-01,"MSP","FAR","1548","1643",
2017-01-01,"ATL","PVD","1952","2209",
2017-01-01,"LGA","MSP","1858","2048",
2017-01-01,"SAT","ATL","0556","0924",
2017-01-01,"ATL","STT","1525","1941",
2017-01-01,"ATL","TLH","2235","2336",
2017-01-01,"CHS","ATL","1250","1411",
2017-01-01,"PBI","LGA","1409","1641",
2017-01-01,"LGA","ATL","1151","1433",
2017-01-01,"FLL","LGA","1540","1828",
2017-01-01,"DTW","PIT","2027","2121",
2017-01-01,"LGA","FLL","1806","2059",
